library,scheme,N,category,grid_depth,trial,step_index,step_name,max_abs_error,mean_abs_error,correctness,status
SEAL,CKKS,8192,3,1,8,3,after_relinearize_1,1.07612e-08,9.43832e-10,correct,measured
SEAL,CKKS,8192,3,1,8,4,after_rescale_1,1.51311e-06,1.1138e-07,correct,measured
SEAL,CKKS,8192,3,1,9,0,fresh,6.72776e-09,8.80575e-10,correct,measured
SEAL,CKKS,8192,3,1,9,1,after_add,9.61128e-09,1.21733e-09,correct,measured
SEAL,CKKS,8192,3,1,9,2,after_multiply_1,1.01085e-08,9.04362e-10,correct,measured
SEAL,CKKS,8192,3,1,9,3,after_relinearize_1,1.01085e-08,9.04362e-10,correct,measured
SEAL,CKKS,8192,3,1,9,4,after_rescale_1,9.9047e-07,1.12665e-07,correct,measured
SEAL,CKKS,8192,5,0,0,0,fresh,6.64327e-09,8.81714e-10,correct,measured
SEAL,CKKS,8192,5,0,0,1,after_add,1.10882e-08,1.23904e-09,correct,measured
SEAL,CKKS,8192,5,0,1,0,fresh,7.86341e-09,8.62754e-10,correct,measured
SEAL,CKKS,8192,5,0,1,1,after_add,1.113e-08,1.2562e-09,correct,measured
SEAL,CKKS,8192,5,0,2,0,fresh,8.87236e-09,8.82069e-10,correct,measured
SEAL,CKKS,8192,5,0,2,1,after_add,9.54188e-09,1.25925e-09,correct,measured
SEAL,CKKS,8192,5,0,3,0,fresh,7.19391e-09,8.84817e-10,correct,measured
SEAL,CKKS,8192,5,0,3,1,after_add,1.25785e-08,1.23821e-09,correct,measured
SEAL,CKKS,8192,5,0,4,0,fresh,7.54426e-09,8.86224e-10,correct,measured
SEAL,CKKS,8192,5,0,4,1,after_add,1.14706e-08,1.27648e-09,correct,measured
SEAL,CKKS,8192,5,0,5,0,fresh,6.83708e-09,8.763e-10,correct,measured
SEAL,CKKS,8192,5,0,5,1,after_add,1.10379e-08,1.22514e-09,correct,measured
SEAL,CKKS,8192,5,0,6,0,fresh,6.29502e-09,8.77033e-10,correct,measured
SEAL,CKKS,8192,5,0,6,1,after_add,1.13185e-08,1.25783e-09,correct,measured
SEAL,CKKS,8192,5,0,7,0,fresh,7.03337e-09,8.7698e-10,correct,measured
SEAL,CKKS,8192,5,0,7,1,after_add,8.87227e-09,1.24102e-09,correct,measured
SEAL,CKKS,8192,5,0,8,0,fresh,8.0251e-09,8.74993e-10,correct,measured
SEAL,CKKS,8192,5,0,8,1,after_add,1.17565e-08,1.24098e-09,correct,measured
SEAL,CKKS,8192,5,0,9,0,fresh,6.05088e-09,8.68302e-10,correct,measured
SEAL,CKKS,8192,5,0,9,1,after_add,1.0677e-08,1.24719e-09,correct,measured
